time_s,altitude_m,downrange_m,velocity_mps,acceleration_mps2,mass_kg,mach,dynamic_pressure_pa,x_m,y_m,z_m
0.0000,0.0000,0.0000,0.0000,0.0000,2.1850,0.01469,15.3127,0.0000,0.0000,0.0000
0.0100,0.0000,0.0000,0.0000,6.7285,2.1849,0.01469,15.3127,0.0000,0.0000,0.0000
0.0200,0.0000,0.0000,0.0000,0.6654,2.1847,0.01469,15.3127,0.0000,0.0000,0.0000
0.0300,0.0002,0.0000,0.0561,5.6196,2.1846,0.01469,15.3026,0.0000,0.0000,0.0002
0.0400,0.0013,0.0000,0.1738,11.7774,2.1844,0.01468,15.2940,0.0000,0.0000,0.0013
0.0500,0.0039,0.0001,0.3532,17.9400,2.1843,0.01469,15.3135,0.0001,0.0000,0.0039
0.0600,0.0086,0.0003,0.5942,24.1041,2.1842,0.01474,15.4019,0.0003,0.0000,0.0086
0.0700,0.0160,0.0006,0.8968,30.2690,2.1840,0.01484,15.6136,0.0006,0.0000,0.0160
0.0800,0.0267,0.0009,1.2612,36.4346,2.1839,0.01503,16.0172,0.0009,0.0000,0.0267
0.0900,0.0414,0.0014,1.6872,42.6008,2.1837,0.01534,16.6954,0.0014,0.0000,0.0414
0.1000,0.0607,0.0021,2.1748,48.7674,2.1836,0.01582,17.7447,0.0021,0.0000,0.0607
0.1100,0.0851,0.0030,2.7241,54.9342,2.1835,0.01649,19.2756,0.0030,0.0000,0.0851
0.1200,0.1153,0.0040,3.3351,61.1012,2.1833,0.01738,21.4125,0.0040,0.0000,0.1153
0.1300,0.1519,0.0053,4.0078,67.2680,2.1832,0.01851,24.2940,0.0053,0.0000,0.1519
0.1400,0.1956,0.0068,4.7422,73.4346,2.1830,0.01989,28.0725,0.0068,0.0000,0.1956
0.1500,0.2469,0.0086,5.5187,77.6589,2.1829,0.02150,32.7869,0.0086,0.0000,0.2469
0.1600,0.3059,0.0107,6.2976,77.8848,2.1828,0.02323,38.2570,0.0107,0.0000,0.3059
0.1700,0.3728,0.0130,7.0764,77.8811,2.1826,0.02504,44.4697,0.0130,0.0000,0.3728
0.1800,0.4474,0.0156,7.8551,77.8764,2.1825,0.02693,51.4248,0.0156,0.0000,0.4474
0.1900,0.5298,0.0185,8.6338,77.8707,2.1823,0.02887,59.1221,0.0185,0.0000,0.5298
0.2000,0.6199,0.0216,9.4125,77.8638,2.1822,0.03086,67.5612,0.0216,0.0000,0.6199
0.2100,0.7179,0.0251,10.1910,77.8558,2.1820,0.03289,76.7417,0.0251,0.0000,0.7179
0.2200,0.8236,0.0288,10.9695,77.8466,2.1819,0.03496,86.6632,0.0288,0.0000,0.8236
0.2300,0.9372,0.0327,11.7478,77.8364,2.1818,0.03705,97.3253,0.0327,0.0000,0.9372
0.2400,1.0584,0.0370,12.5261,77.8250,2.1816,0.03916,108.7274,0.0370,0.0000,1.0584
0.2500,1.1875,0.0415,13.3042,77.8125,2.1815,0.04128,120.8691,0.0415,0.0000,1.1875
0.2600,1.3244,0.0462,14.0821,77.7988,2.1813,0.04343,133.7495,0.0462,0.0000,1.3244
0.2700,1.4690,0.0513,14.8600,77.7841,2.1812,0.04559,147.3683,0.0513,0.0000,1.4690
0.2800,1.6214,0.0566,15.6376,77.7682,2.1811,0.04776,161.7245,0.0566,0.0000,1.6214
0.2900,1.7816,0.0622,16.4151,77.7511,2.1809,0.04993,176.8175,0.0622,0.0000,1.7816
0.3000,1.9495,0.0681,17.1925,77.7329,2.1808,0.05212,192.6465,0.0681,0.0000,1.9495
0.3100,2.1252,0.0742,17.9696,77.7136,2.1806,0.05431,209.1845,0.0742,0.0000,2.1252
0.3200,2.3087,0.0807,18.7465,77.6932,2.1805,0.05651,226.4566,0.0807,0.0000,2.3087
0.3300,2.4999,0.0875,19.5232,77.6717,2.1804,0.05872,244.4618,0.0875,0.0000,2.4999
0.3400,2.6989,0.0946,20.2997,77.6490,2.1802,0.06093,263.1992,0.0946,0.0000,2.6989
0.3500,2.9056,0.1020,21.0759,77.6252,2.1801,0.06314,282.6677,0.1020,0.0000,2.9056
0.3600,3.1201,0.1097,21.8519,77.6003,2.1799,0.06536,302.8663,0.1097,0.0000,3.1201
0.3700,3.3424,0.1178,22.6277,77.5742,2.1798,0.06758,323.7937,0.1178,0.0000,3.3424
0.3800,3.5724,0.1261,23.4031,77.5470,2.1797,0.06980,345.4490,0.1261,0.0000,3.5724
0.3900,3.8101,0.1348,24.1783,77.5187,2.1795,0.07203,367.8308,0.1348,0.0000,3.8101
0.4000,4.0556,0.1438,24.9532,77.4893,2.1794,0.07426,390.9379,0.1438,0.0000,4.0556
0.4100,4.3088,0.1531,25.7278,77.4588,2.1792,0.07649,414.7691,0.1531,0.0000,4.3088
0.4200,4.5698,0.1628,26.5020,77.4271,2.1791,0.07872,439.3228,0.1628,0.0000,4.5698
0.4300,4.8385,0.1727,27.2760,77.3943,2.1790,0.08096,464.5979,0.1727,0.0000,4.8385
0.4400,5.1150,0.1830,28.0496,77.3605,2.1788,0.08319,490.5927,0.1830,0.0000,5.1150
0.4500,5.3991,0.1936,28.8228,77.3255,2.1787,0.08543,517.3059,0.1936,0.0000,5.3991
0.4600,5.6910,0.2045,29.5957,77.2894,2.1785,0.08767,544.7360,0.2045,0.0000,5.6910
0.4700,5.9906,0.2157,30.3682,77.2521,2.1784,0.08990,572.8813,0.2157,0.0000,5.9906
0.4800,6.2980,0.2272,31.1404,77.2138,2.1783,0.09214,601.7402,0.2272,0.0000,6.2980
0.4900,6.6130,0.2391,31.9121,77.1744,2.1781,0.09438,631.3112,0.2391,0.0000,6.6130
0.5000,6.9357,0.2513,32.6834,77.1339,2.1780,0.09662,661.5925,0.2513,0.0000,6.9357
0.5100,7.2662,0.2638,33.4543,77.0923,2.1778,0.09886,692.5823,0.2638,0.0000,7.2662
0.5200,7.6043,0.2766,34.2248,77.0496,2.1777,0.10110,724.2789,0.2766,0.0000,7.6043
0.5300,7.9502,0.2898,34.9949,77.0057,2.1775,0.10334,756.6804,0.2898,0.0000,7.9502
0.5400,8.3037,0.3033,35.7645,76.9608,2.1774,0.10557,789.7850,0.3033,0.0000,8.3037
0.5500,8.6650,0.3171,36.5336,76.9149,2.1773,0.10781,823.5908,0.3171,0.0000,8.6650
0.5600,9.0339,0.3312,37.3023,76.8678,2.1771,0.11005,858.0958,0.3312,0.0000,9.0339
0.5700,9.4105,0.3456,38.0705,76.8196,2.1770,0.11229,893.2981,0.3456,0.0000,9.4105
0.5800,9.7947,0.3604,38.8382,76.7704,2.1768,0.11452,929.1955,0.3604,0.0000,9.7947
0.5900,10.1867,0.3755,39.6054,76.7201,2.1767,0.11676,965.7861,0.3755,0.0000,10.1867
0.6000,10.5862,0.3909,40.3721,76.6687,2.1766,0.11900,1003.0676,0.3909,0.0000,10.5862
0.6100,10.9935,0.4067,41.1382,76.6163,2.1764,0.12123,1041.0380,0.4067,0.0000,10.9935
0.6200,11.4084,0.4228,41.9038,76.5628,2.1763,0.12346,1079.6950,0.4228,0.0000,11.4084
0.6300,11.8309,0.4392,42.6689,76.5082,2.1761,0.12570,1119.0365,0.4392,0.0000,11.8309
0.6400,12.2611,0.4559,43.4334,76.4526,2.1760,0.12793,1159.0601,0.4559,0.0000,12.2611
0.6500,12.6989,0.4730,44.1974,76.3959,2.1759,0.13016,1199.7635,0.4730,0.0000,12.6989
0.6600,13.1444,0.4904,44.9608,76.3381,2.1757,0.13239,1241.1443,0.4904,0.0000,13.1444
0.6700,13.5975,0.5082,45.7236,76.2793,2.1756,0.13461,1283.2002,0.5082,0.0000,13.5975
0.6800,14.0582,0.5262,46.4857,76.2195,2.1754,0.13684,1325.9287,0.5262,0.0000,14.0582
0.6900,14.5265,0.5446,47.2473,76.1586,2.1753,0.13907,1369.3274,0.5446,0.0000,14.5265
0.7000,15.0024,0.5634,48.0083,76.0967,2.1752,0.14129,1413.3938,0.5634,0.0000,15.0024
0.7100,15.4859,0.5825,48.7686,76.0337,2.1750,0.14351,1458.1252,0.5825,0.0000,15.4859
0.7200,15.9770,0.6019,49.5283,75.9698,2.1749,0.14573,1503.5192,0.6019,0.0000,15.9770
0.7300,16.4757,0.6216,50.2873,75.9047,2.1747,0.14795,1549.5731,0.6216,0.0000,16.4757
0.7400,16.9819,0.6417,51.0457,75.8387,2.1746,0.15017,1596.2842,0.6417,0.0000,16.9819
