time_s,altitude_m,downrange_m,velocity_mps,acceleration_mps2,mass_kg,mach,dynamic_pressure_pa,x_m,y_m,z_m
0.0000,0.0000,0.0000,0.0000,0.0000,0.5650,0.00588,2.4500,0.0000,0.0000,0.0000
0.0100,0.0000,0.0000,0.0000,9.3833,0.5649,0.00588,2.4500,0.0000,0.0000,0.0000
0.0200,0.0000,0.0000,0.0000,8.5373,0.5649,0.00588,2.4500,0.0000,0.0000,0.0000
0.0300,0.0000,0.0000,0.0000,7.6913,0.5648,0.00588,2.4500,0.0000,0.0000,0.0000
0.0400,0.0000,0.0000,0.0000,6.8456,0.5647,0.00588,2.4500,0.0000,0.0000,0.0000
0.0500,0.0000,0.0000,0.0000,6.0003,0.5646,0.00588,2.4500,0.0000,0.0000,0.0000
0.0600,0.0000,0.0000,0.0000,5.1557,0.5645,0.00588,2.4500,0.0000,0.0000,0.0000
0.0700,0.0000,0.0000,0.0000,4.3123,0.5645,0.00588,2.4500,0.0000,0.0000,0.0000
0.0800,0.0000,0.0000,0.0000,3.4713,0.5644,0.00588,2.4500,0.0000,0.0000,0.0000
0.0900,0.0000,0.0000,0.0000,2.6351,0.5643,0.00588,2.4500,0.0000,0.0000,0.0000
0.1000,0.0000,0.0000,0.0000,1.8107,0.5642,0.00588,2.4500,0.0000,0.0000,0.0000
0.1100,0.0000,0.0000,0.0000,1.0276,0.5642,0.00588,2.4500,0.0000,0.0000,0.0000
0.1200,0.0000,0.0000,0.0000,0.5258,0.5641,0.00588,2.4500,0.0000,0.0000,0.0000
0.1300,0.0000,0.0000,0.0082,0.9703,0.5640,0.00588,2.4490,0.0000,0.0000,0.0000
0.1400,0.0002,0.0000,0.0248,1.7470,0.5639,0.00587,2.4472,0.0000,0.0000,0.0002
0.1500,0.0006,0.0000,0.0500,2.5708,0.5639,0.00587,2.4451,0.0000,0.0000,0.0006
0.1600,0.0012,0.0001,0.0837,3.4079,0.5638,0.00587,2.4436,0.0001,0.0000,0.0012
0.1700,0.0023,0.0001,0.1258,4.2504,0.5637,0.00587,2.4436,0.0001,0.0000,0.0023
